specialty_en,specialty_bn,specialist_en,specialist_bn,hospital_en,hospital_bn,Name_en,Name_bn,rating,Speciality,profile_url
ENT,ইএনটি,ENT Specialist,কান নাক ও গলা বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Dr. Syeda Sharmin Zamal,ডাঃ সৈয়দা শারমিন জামাল,4,E.N.T (Ear Nose and Throat),https://heliumdoc.com/bd/syeda-sharmin-zamal/
Respiratory,শ্বাসতন্ত্র,Pulmonologist,বক্ষব্যাধি বিশেষজ্ঞ,Medinova Medical Services Malibagh,মেডিনোভা মেডিকেল সার্ভিসেস মালিবাগ,Prof. Dr. A.K.M Mustafa Hussain,প্রফেসর ডা. এ.কে.এম মুস্তফা হোসেন,4,Chest Asthma Medicine & TB Specialist,https://doctordhaka.com/doctor/details/prof-dr-akm-mustafa-hussain
Respiratory,শ্বাসতন্ত্র,Pulmonologist,বক্ষব্যাধি বিশেষজ্ঞ,Medinova Medical Services Malibagh,মেডিনোভা মেডিকেল সার্ভিসেস মালিবাগ,Dr. Mst. Shamima Akter,ডা. মুস্ত. শামীমা আক্তার,4,Chest Diseases Asthma Allergy & Internal Medicine Specialist,https://doctordhaka.com/doctor/details/dr-mst-shamima-akter
Respiratory,শ্বাসতন্ত্র,Pulmonologist,বক্ষব্যাধি বিশেষজ্ঞ,Popular Diagnostic Center Dhanmondi,মেডিনোভা মেডিকেল সার্ভিসেস মালিবাগ,Prof. Dr. M. Delwar Hossain,প্রফেসর ডা. এম. দিলওয়ার হোসেন,4,Asthma Chest Diseases & Respiratory Medicine Specialist,https://doctordhaka.com/doctor/details/prof-dr-m-delwar-hossain
Respiratory,শ্বাসতন্ত্র,Pulmonologist,বক্ষব্যাধি বিশেষজ্ঞ,Ibn Sina Diagnostic Center Dhanmondi,পপুলার ডায়াগনস্টিক সেন্টার ধানমন্ডি,Prof. Dr. Mirza Mohammad Hiron,প্রফেসর ডা. মির্জা মোহাম্মদ হিরন,3.9,Chest Diseases & Medicine Specialist,https://doctordhaka.com/doctor/details/prof-dr-mirza-mohammad-hiron
Gastroenterology,গ্যাস্ট্রোএন্টারোলজি,Gastroenterologist,পরিপাকতন্ত্র বিশেষজ্ঞ,Ibn Sina Diagnostic & Imaging Center,,Brig. Gen. (Retd) Prof. Dr. Md. Mokhlesur Rahman,ব্রিগেডিয়ার মোঃ মোখলেছুর রহমান জেনারেল (অব.) প্রফেসর ড,4,Gastroenterology Liver & Medicine,https://ibnsinatrust.com/view_departmentwiseDoctor.php?id=228
Gastroenterology,গ্যাস্ট্রোএন্টারোলজি,Gastroenterologist,পরিপাকতন্ত্র বিশেষজ্ঞ,LABAID,ল্যাবএইড,Professor (Dr.) Mian Mashhud Ahmad,অধ্যাপক (ড.) মিয়া মাশহুদ আহমদ,3.9,Gastroenterology Department Specialist in Gastrointestinal & Liver Diseases,https://labaid.com.bd/en/doctor/dr.mian-mashhud-ahmad
Gastroenterology,গ্যাস্ট্রোএন্টারোলজি,Gastroenterologist,পরিপাকতন্ত্র বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Prof. Dr. Md. Masudur Rahman,ড. মো. মাসুদুর রহমান,3.95,Medicine Liver & Gastroenterology,https://www.bdspecializedhospital.com/doctor/30
Urology,ইউরোলজি,Urologist,মূত্ররোগ বিশেষজ্ঞ,Evercare Hospital Dhaka,এভারকেয়ার হসপিটাল ঢাকা,Dr. M. Zahid Hasan,ডঃ এম. জাহিদ হাসান,4.6,Female Urology & Kidney Transplantation Urologist & Kidney Transplant Surgeon,https://www.evercarebd.com/en/dhaka/doctors/dr-m-zahid-hasan
Urology,ইউরোলজি,Urologist,মূত্ররোগ বিশেষজ্ঞ,Ibn Sina Diagnostic Center Dhanmondi,ইবনে সিনা ডায়াগনস্টিক এন্ড ইমেজিং সেন্টার ধানমন্ডি,Dr. Md. Abdus Salam,ডাঃ মোঃ আবদুস সালাম,4.4,Urologist General & Laparoscopic Surgeon,https://www.ibnsinatrust.com/view_departmentwiseDoctor.php?id=12
Urology,ইউরোলজি,Urologist,মূত্ররোগ বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Prof. Dr. S. A. Khan,অধ্যাপক ড. এস. এ. খান,4.3,Urologist & Transplant Surgeon,https://bdspecializedhospital.com/doctor/17
Nephrology,নেফ্রোলজি,Nephrologist,কিডনি বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Dr. Md. Abdul Wahab Khan,ডাঃ মোঃ আব্দুল ওয়াহাব খান,4.8,Nephrology,https://bdspecializedhospital.com/doctor/33
Nephrology,নেফ্রোলজি,Nephrologist,কিডনি বিশেষজ্ঞ,Evercare Hospital Dhaka,এভারকেয়ার হসপিটাল ঢাকা,Dr. Ebadur Rahman,ডঃ এবাদুর রহমান,4.6,Nephrology,https://www.evercarebd.com/en/dhaka/doctors/dr-ebadur-rahman
Nephrology,নেফ্রোলজি,Nephrologist,কিডনি বিশেষজ্ঞ,LABAID,ল্যাবএইড,Dr. Mohammad Moniruzzaman,ডঃ মোহাম্মদ মনিরুজ্জামান,4,Kidney Diseases Diabetes & Medicine Specialist,https://labaid.com.bd/en/doctor/dr.mohammad-moniruzzaman
Endocrinology,এন্ডোক্রাইনোলজি,Endocrinologist,হরমোন বিশেষজ্ঞ,Ibn Sina Diagnostic Center Dhanmondi,ইবনে সিনা ডায়াগনস্টিক এন্ড ইমেজিং সেন্টার ধানমন্ডি,Dr. Sharmin Jahan,ডা. শরমিন জাহান,4.8,Diabetes Thyroid & Hormone Specialist,https://doctordhaka.com/doctor/details/dr-sharmin-jahan
Endocrinology,এন্ডোক্রাইনোলজি,Endocrinologist,হরমোন বিশেষজ্ঞ,Popular Diagnostic Center Badda,পপুলার ডায়াগনস্টিক সেন্টার ধানমন্ডি,Dr. Rushda Sarmin Binte Rouf,ডা. রুশদা সারমিন বিনতে রউফ,4.5,Diabetes Thyroid & Hormone Specialist,https://doctordhaka.com/doctor/details/dr-rushda-sarmin-binte-rouf
Endocrinology,এন্ডোক্রাইনোলজি,Endocrinologist,হরমোন বিশেষজ্ঞ,LABAID,ল্যাবএইড,Dr. M Saifuddin,ডাঃ এম সাইফুদ্দিন,4,Diabetes Thyroid Hormone & Medicine Specialist,https://labaid.com.bd/en/doctor/dr.m-saifuddin
Dermatology,চর্মরোগ,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Prof. Dr. Md. Rokon Uddin,অধ্যাপক ড. মো. রোকন উদ্দিন,4.7,Sexual Medicine Specialist & Laser Dermatosurgeon,https://www.bdspecializedhospital.com/doctor/42
Dermatology,চর্মরোগ,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Dr. Syeda Ishrat Jahan,ডাঃ সৈয়দা ইশরাত জাহান,4.6,Dermatology,https://www.squarehospital.com/doctors/32
Dermatology,চর্মরোগ,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Ibn Sina Diagnostic Center Dhanmondi,ইবনে সিনা ডায়াগনস্টিক এন্ড ইমেজিং সেন্টার ধানমন্ডি,Prof. Dr. Masuda Khatun,অধ্যাপক ড. মাসুদা খাতুন,4,Skin Allergy & VD,https://www.ibnsinatrust.com/view_departmentwiseDoctor.php?id=16
Ophthalmology,চক্ষুবিদ্যা,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Bangladesh Eye Hospital,বাংলাদেশ চক্ষু হাসপাতাল,Dr. Mahbubur Rahman Chowdhury,ডাঃ মাহবুবুর রহমান চৌধুরী,4.8,Consultant Phaco Surgeon,https://dhanmondi.bdeyehospital.com/consultant/41
Ophthalmology,চক্ষুবিদ্যা,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Bangladesh Eye Hospital,বাংলাদেশ চক্ষু হাসপাতাল,Dr. Kazi Shabbir Anwar,ডঃ কাজী শাব্বির আনোয়ার,4.7,Consultant Pediatric Ophthalmologist,https://dhanmondi.bdeyehospital.com/consultant/46
Ophthalmology,চক্ষুবিদ্যা,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Bangladesh Eye Hospital,বাংলাদেশ চক্ষু হাসপাতাল,Dr. Sarwat Rahman,ডাঃ সারওয়াত রহমান,4.8,Consultant Neuro Ophthalmologist Phaco & LASIK Surgeon,https://dhanmondi.bdeyehospital.com/consultant/55
Dentistry,দন্তচিকিৎসা,Dentist,দন্ত চিকিৎসক,Evercare Hospital Dhaka,এভারকেয়ার হসপিটাল ঢাকা,Prof. Dr. Kazi Hasinur Rahman,অধ্যাপক ড. কাজী হাসিনুর রহমান,4.8,Dental & Maxillofacial Surgery,https://www.evercarebd.com/en/dhaka/doctors/prof-dr-kazi-hasinur-rahman?utm_source=chatgpt.com
Dentistry,দন্তচিকিৎসা,Dentist,দন্ত চিকিৎসক,Evercare Hospital Dhaka,এভারকেয়ার হসপিটাল ঢাকা,Dr. Fahmida Ferdousi,ডাঃ ফাহমিদা ফেরদৌসী,4.7,Dental & Maxillofacial Surgery,https://www.evercarebd.com/en/dhaka/doctors/dr-fahmida-ferdousi
Dentistry,দন্তচিকিৎসা,Dentist,দন্ত চিকিৎসক,Evercare Hospital Dhaka,এভারকেয়ার হসপিটাল ঢাকা,Dr. Md. Golam Rubby,ডাঃ মোঃ গোলাম রাব্বি,4.6,Orthodontics & Dentofacial Orthopedics,https://www.evercarebd.com/en/dhaka/doctors/dr-md-golam-rubby
Gynecology,স্ত্রীরোগ,Gynecologist,স্ত্রীরোগ বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Prof. Dr. Farhat Hussain,অধ্যাপক ড. ফারহাত হুসাইন,4.8,Obstetrics & Gynecology & Gynecologic Oncology,https://www.bdspecializedhospital.com/doctor/34
Gynecology,স্ত্রীরোগ,Gynecologist,স্ত্রীরোগ বিশেষজ্ঞ,Evercare Hospital Dhaka,এভারকেয়ার হসপিটাল ঢাকা,Dr. Monowara Begum,ডঃ মনোয়ারা বেগম,4.5,Obstetrics and Gynaecology,https://www.evercarebd.com/en/dhaka/doctors/dr-monowara-begum
Gynecology,স্ত্রীরোগ,Gynecologist,স্ত্রীরোগ বিশেষজ্ঞ,LABAID,ল্যাবএইড,Prof. Sehereen F. Siddiqua,অধ্যাপক সেহেরীন এফ. সিদ্দিকী,4.6,Specialist in Gynaecology & Obstetrics & Laparoscopic Surgeon Gynaecological Endoscopic Surgery Specialist,https://labaid.com.bd/en/doctor/prof.-sehereen-f.-siddiqua
Orthopedics,অর্থোপেডিকস,Orthopedic Specialist,অর্থোপেডিক বিশেষজ্ঞ,LABAID,ল্যাবএইড,Professor Dr. M. Amjad Hossain,অধ্যাপক ড. এম. আমজাদ হোসেন,4.8,Chief Consultant & Head Department of Orthopedic Surgery,https://labaid.com.bd/en/doctor/prof.-dr.-m.-amjad-hossain
Orthopedics,অর্থোপেডিকস,Orthopedic Specialist,অর্থোপেডিক বিশেষজ্ঞ,bn Sina Diagnostic Center Dhanmondi,ইবনে সিনা ডায়াগনস্টিক এন্ড ইমেজিং সেন্টার ধানমন্ডি,Professor Dr. Muhammad Siraj-ul-Islam,প্রফেসর ড: মুহাম্মদ সিরাজ-উল-ইসলাম,4.6,Orthopedic Surgery,https://www.ibnsinatrust.com/view_departmentwiseDoctor.php?id=10
Psychiatry,মনোরোগবিদ্যা,Psychiatrist,মনোরোগ বিশেষজ্ঞ,Evercare Hospital Dhaka,এভারকেয়ার হসপিটাল ঢাকা,Dr. Nigar Sultana,ডঃ নিগার সুলতানা,4.7,Psychiatry,https://www.evercarebd.com/en/dhaka/doctors/dr-nigar-sultana
Psychiatry,মনোরোগবিদ্যা,Psychiatrist,মনোরোগ বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Mrs. Sharmin Haque,মিসেস শারমিন হক,4.6,Clinical Psychologis,https://www.squarehospital.com/doctors/19
Psychiatry,মনোরোগবিদ্যা,Psychiatrist,মনোরোগ বিশেষজ্ঞ,Popular Diagnostic Center Dhanmondi,পপুলার ডায়াগনস্টিক সেন্টার ধানমন্ডি,Prof. Dr. Mekhala Sarkar,অধ্যাপক ড. মেখলা সরকার,4,Psychiatry,https://populardiagnostic.com/doctordetail/4730
Surgery,সার্জারি,General Surgeon,জেনারেল সার্জন,Square Hospital,স্কয়ার হাসপাতাল,Dr. Mohammad Israt Faisal,ডঃ মোহাম্মদ ইসরাত ফয়সাল,4.7,General Surgery,https://www.squarehospital.com/doctors/127
Surgery,সার্জারি,General Surgeon,জেনারেল সার্জন,Ibn Sina Diagnostic Center Dhanmondi,ইবনে সিনা ডায়াগনস্টিক এন্ড ইমেজিং সেন্টার ধানমন্ডি,Dr. Md. Omar Faruk,ডাঃ মোঃ ওমর ফারুক,4,General & Laparoscopic Surgeon,https://www.ibnsinatrust.com/view_departmentwiseDoctor.php?id=340
Surgery,সার্জারি,General Surgeon,জেনারেল সার্জন,LABAID,ল্যাবএইড,Professor Dr. M Khademul Islam,প্রফেসর ড এম খাদেমুল ইসলাম,4,General & Laparoscopic Surgeon,https://labaid.com.bd/en/doctor/prof.-dr.-m-khademul-islam
